A01.200 1
A02.000 1
A02.000x005 1
A02.000x006 1
A02.000x007 1
A02.000x009 1
A02.000x010 1
A02.001 1
A02.002 1
A02.003 1
A02.004 1
A03.800x001 1
A03.800x002 1
A04.400x003 1
A04.400x004 1
A04.401 1
A04.402 1
A04.800x001 1
A04.800x003 1
A04.800x006 1
A04.800x007 1
A04.800x010 1
A04.801 1
A04.802 1
A04.803 1
A05.000 1
A05.000x001 1
A05.200 1
A05.200x002 1
A05.202 1
A06.100 1
A06.100x002 1
A06.600+G07* 1
A06.800x001 1
A06.800x002 1
A06.800x003 1
A06.800x004+N51.2* 1
A06.801 1
A06.900 1
A07.200 1
A07.300 1
A07.300x002 1
A07.800x002 1
A07.801 1
A08.500 1
A09.900x003 1
A09.900x004 1
A09.900x005 1
A09.900x006 1
A09.900x007 1
A09.901 1
A09.902 1
A09.903 1
A09.904 1
A15.400x001 2
A15.401 2
A15.402 2
A15.403 2
A15.404 2
A15.405 2
A15.406 2
A15.407 2
A15.408 2
A15.409 2
A15.500x001 2
A15.500x002 2
A15.500x003 2
A15.500x004 2
A15.500x010 2
A15.500x011 2
A15.500x012 2
A15.500x013 2
A15.500x014 2
A15.500x015 2
A15.500x016 2
A15.500x017 2
A15.500x018 2
A15.500x019 2
A15.500x020 2
A15.500x021 2
A15.500x022 2
A15.500x023 2
A15.500x024 2
A15.500x025 2
A15.500x026 2
A15.500x027 2
A15.500x028 2
A15.500x029 2
A15.501 2
A15.502 2
A15.503 2
A15.504 2
A15.505 2
A15.506 2
A15.507 2
A15.508 2
A15.509 2
A15.800x001 2
A15.801 2
A15.802 2
A15.803 2
A15.804 2
A15.805 2
A15.806 2
A15.807 2
A15.808 2
A15.809 2
A15.810 2
A15.811 2
A15.812 2
A15.813 2
A15.814 2
A16.400x005 2
A16.400x010 2
A16.400x011 2
A16.401 2
A16.402 2
A16.403 2
A16.405 2
A16.406 2
A16.500x001 2
A16.500x004 2
A16.500x008 2
A16.500x009 2
A16.500x010 2
A16.501 2
A16.503 2
A16.504 2
A16.505 2
A17.800x007+G05.0* 2
A17.801+G07* 2
A17.802+G07* 2
A17.803+G05.0* 2
A17.804+G05.0* 2
A17.805+G07* 2
A17.806+G07* 2
A17.807+G94.0* 2
A18.200x002 2
A18.200x005 2
A18.200x006 2
A18.200x010 2
A18.201 2
A18.202 2
A18.203 2
A18.205 2
A18.206 2
A18.207 2
A18.208 2
A18.209 2
A18.210 2
A18.211 2
A18.212 2
A18.300x006+K67.3* 2
A18.300x009+K93.0* 2
A18.300x013+K93.0* 2
A18.300x014+K93.0* 2
A18.300x015+K93.0* 2
A18.300x016 2
A18.301 2
A18.302+K93.0* 2
A18.303+K93.0* 2
A18.304+K93.0* 2
A18.305+K93.0* 2
A18.306+K93.0* 2
A18.307+K93.0* 2
A18.308 2
A18.309 2
A18.310 2
A18.311+K93.0* 2
A18.312+K93.0* 2
A18.313+K93.0* 2
A18.314+K67.3* 2
A18.315+K93.0* 2
A18.316+K93.0* 2
A18.317 2
A18.318 2
A18.800x001 2
A18.800x006+K93.8* 2
A18.800x010+M63.0* 2
A18.800x014+K23.0* 2
A18.800x022+M63.0* 2
A18.800x025+K93.8* 2
A18.800x027+M63.0* 2
A18.800x028+M63.0* 2
A18.800x034+K93.8* 2
A18.801+E35.8* 2
A18.802+K93.8* 2
A18.803+M63.0* 2
A18.804+K93.8* 2
A18.805+K93.8* 2
A18.806+E35.0* 2
A18.807+K23.0* 2
A18.808+I32.0* 2
A18.809+I32.0* 2
A18.810+M63.0* 2
A18.811 2
A18.812+K93.8* 2
A18.813+D77* 2
A18.814+K77.0* 2
A18.815+K87.0* 2
A18.816+K87.0* 2
A18.817+K87.1* 2
A18.818+I79.8* 2
A18.819+M36.8* 2
A18.820+I39.8* 2
A18.821+I41.0* 2
A18.822+I68.1* 2
A21.100 3
A21.900x001 3
A22.801+G01* 3
A22.900 3
A23.200 3
A24.400 3
A26.800x001 3
A27.800 3
A27.800x001 3
A28.900 3
A30.000x001 4
A30.100x001 4
A30.100x003 4
A30.800 4
A31.800x001 4
A31.800x002 4
A31.800x003 4
A31.800x004 4
