A00.000x001 1
A00.100x001 1
A00.900 1
A00.900x002 1
A00.900x003 1
A00.900x004 1
A00.900x005 1
A01.000 1
A01.000x004 1
A01.000x005+J17.0* 1
A01.000x006 1
A01.000x007 1
A01.000x008 1
A01.000x009 1
A01.000x010 1
A01.000x011 1
A01.000x012 1
A01.000x014 1
A01.000x016+I41.0* 1
A01.000x017 1
A01.000x018 1
A01.000x019 1
A01.000x020 1
A01.001+K77.0* 1
A01.002+G01* 1
A01.003 1
A01.100 1
A01.200 1
A01.300 1
A01.400 1
A02.000 1
A02.000x005 1
A02.000x006 1
A02.000x007 1
A02.000x009 1
A02.000x010 1
A02.001 1
A02.002 1
A02.003 1
A02.004 1
A02.100 1
A02.100x002 1
A02.101 1
A02.201+J17.0* 1
A02.202+M01.3* 1
A02.203+G01* 1
A02.204+M90.2* 1
A02.205+N16.0* 1
A02.800 1
A02.900x002 1
A02.900x003 1
A02.900x004 1
A02.901 1
A03.000x001 1
A03.100x001 1
A03.200x001 1
A03.300x001 1
A03.800x001 1
A03.800x002 1
A03.900 1
A03.900x002 1
A03.900x005 1
A03.900x007 1
A03.900x008 1
A03.900x009 1
A03.901 1
A03.902 1
A03.903 1
A03.904 1
A04.000x001 1
A04.000x002 1
A04.100x001 1
A04.100x002 1
A04.200x001 1
A04.200x002 1
A04.300x001 1
A04.301 1
A04.400x003 1
A04.400x004 1
A04.401 1
A04.402 1
A04.500 1
A04.600 1
A04.600x001 1
A04.700 1
A04.700x002 1
A04.701 1
A04.702 1
A04.800x001 1
A04.800x003 1
A04.800x006 1
A04.800x007 1
A04.800x010 1
A04.801 1
A04.802 1
A04.803 1
A04.900 1
A04.901 1
A04.902 1
A05.000 1
A05.000x001 1
A05.100 1
A05.200 1
A05.200x002 1
A05.202 1
A05.300 1
A05.300x001 1
A05.400 1
A05.400x001 1
A05.800 1
A05.900 1
A06.000 1
A06.000x001 1
A06.001 1
A06.002 1
A06.100 1
A06.100x002 1
A06.200 1
A06.200x001 1
A06.300 1
A06.300x001 1
A06.400+K77.0* 1
A06.500+J99.8* 1
A06.500x002+J99.8* 1
A06.501+J99.8* 1
A06.502+J17.3* 1
A06.600+G07* 1
A06.700 1
A06.800x001 1
A06.800x002 1
A06.800x003 1
A06.800x004+N51.2* 1
A06.801 1
A06.900 1
A07.000 1
A07.100 1
A07.200 1
A07.300 1
A07.300x002 1
A07.800x002 1
A07.801 1
A07.900x001 1
A08.000 1
A08.100x001 1
A08.101 1
